datetime,version,stock_code,stock_name,entry_mode,decision,reason,score,current_price,high_gap,history_available_sec,history_sample_count,price_change_15s,price_change_15s_actual_sec,price_change_30s,price_change_30s_actual_sec,price_change_60s,price_change_60s_actual_sec,price_change_120s,price_change_120s_actual_sec,price_change_180s,price_change_180s_actual_sec,price_change_300s,price_change_300s_actual_sec,high_gap_change_30s,high_gap_change_30s_actual_sec,high_gap_change_60s,high_gap_change_60s_actual_sec,high_gap_change_120s,high_gap_change_120s_actual_sec,high_gap_change_180s,high_gap_change_180s_actual_sec,high_gap_change_300s,high_gap_change_300s_actual_sec,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,watch_episode_id,watch_episode_start_time,watch_episode_start_price,watch_episode_start_score,watch_episode_to_signal_sec,first_75_time,first_75_price,first_75_score,first_75_pre_result,first_75_pre_reason,pre_entry_type,first_75_to_pre_entry_sec,pre_history_rule,first_signal_time,first_signal_price,confirm_delay_sec,confirm_rise_pct,confirm_observation_status,confirm_observation_reason
2026-08-25 09:04:17.271,v1.6.3,484810,티엑스알로보틱스,BASE,ENTER,75_SCORE,80,16010.0,0.24922118380062305,252.58532881736755,17,1.4575411913814955,15.93889045715332,2.4312220089571337,31.658340215682983,3.826199740596628,63.285255908966064,17.20351390922401,126.63700151443481,17.20351390922401,173.21653056144714,,,0.18528256487479183,31.658340215682983,-0.9046249700455309,63.285255908966064,-0.3918044572250179,94.83325242996216,,,,,2026-08-25 09:02:38.460,15500.0,60.0,94.833253,20260825_484810_E002,2026-08-25 09:03:41.635,15630.0,74.0,31.658341,2026-08-25 09:04:13.293,16010.0,80.0,PASS,PASS,,,,,,,,,
2026-08-25 09:04:17.280,v1.6.3,484810,티엑스알로보틱스,PRE_HISTORY,ENTER,PASS,80,16010.0,0.24922118380062305,252.58532881736755,17,1.4575411913814955,15.93889045715332,2.4312220089571337,31.658340215682983,3.826199740596628,63.285255908966064,17.20351390922401,126.63700151443481,17.20351390922401,173.21653056144714,,,0.18528256487479183,31.658340215682983,-0.9046249700455309,63.285255908966064,-0.3918044572250179,94.83325242996216,,,,,2026-08-25 09:02:38.460,15500.0,60.0,94.833253,20260825_484810_E002,2026-08-25 09:03:41.635,15630.0,74.0,31.658341,2026-08-25 09:04:13.293,16010.0,80.0,PASS,PASS,FIRST_75_PASS,0.0,PASS,,,,,,
2026-08-25 09:04:17.286,v1.6.3,484810,티엑스알로보틱스,CONFIRM,PENDING,FIRST_75_SIGNAL,80,16010.0,0.24922118380062305,252.58532881736755,17,1.4575411913814955,15.93889045715332,2.4312220089571337,31.658340215682983,3.826199740596628,63.285255908966064,17.20351390922401,126.63700151443481,17.20351390922401,173.21653056144714,,,0.18528256487479183,31.658340215682983,-0.9046249700455309,63.285255908966064,-0.3918044572250179,94.83325242996216,,,,,2026-08-25 09:02:38.460,15500.0,60.0,94.833253,20260825_484810_E002,2026-08-25 09:03:41.635,15630.0,74.0,31.658341,2026-08-25 09:04:13.293,16010.0,80.0,PASS,PASS,,,,2026-08-25 09:04:13.293,16010.0,,,PENDING,FIRST_75_SIGNAL
2026-08-25 09:04:32.596,v1.6.3,484810,티엑스알로보틱스,CONFIRM,SKIP,SCORE_BELOW_75,74,16210.0,1.0378510378510377,268.13978719711304,18,1.2492192379762648,15.554458379745483,2.7249683143219268,31.493348836898804,5.602605863192182,63.005680561065674,18.667642752562223,126.27664685249329,18.667642752562223,173.22319507598877,,,-0.02797968315209709,31.493348836898804,-0.5647130647130647,63.005680561065674,0.39682539682539675,110.38771080970764,,,,,2026-08-25 09:02:38.460,15500.0,60.0,94.833253,20260825_484810_E002,2026-08-25 09:03:41.635,15630.0,74.0,31.658341,2026-08-25 09:04:13.293,16010.0,80.0,PASS,PASS,,,,2026-08-25 09:04:13.293,16010.0,19.302629,1.2492192379762648,EVALUABLE,SCORED
2026-08-25 09:05:03.685,v1.6.3,484810,티엑스알로보틱스,LIVE_FILTER_SHADOW,ENTER,PASS,80,16310.0,0.4273504273504274,299.13555097579956,20,0.2458512599877074,15.231380939483643,0.6169031462060457,30.995763778686523,3.3586818757921417,62.48911261558533,6.392694063926941,125.60212469100952,19.39970717423133,173.18722367286682,,,-0.6105006105006103,30.995763778686523,-0.6384802936527074,62.48911261558533,-1.3034188034188035,125.60212469100952,,,,,2026-08-25 09:02:38.460,15500.0,60.0,141.383475,20260825_484810_E002,2026-08-25 09:03:41.635,15630.0,74.0,78.208563,2026-08-25 09:04:13.293,16010.0,80.0,PASS,PASS,,,,,,,,,
2026-08-25 09:05:18.910,v1.6.3,124500,아이티센글로벌,BASE,ENTER,75_SCORE,80,40100.0,0.12453300124533001,314.57485032081604,21,0.0,15.43929934501648,0.5012531328320802,30.670680284500122,0.25,61.989521503448486,3.2175032175032174,125.27477741241455,4.1558441558441555,172.7117099761963,2.557544757033248,298.59485960006714,-0.3742201159616525,30.670680284500122,-0.12484355735816124,61.989521503448486,,,,,,,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,20260825_124500_E001,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,2026-08-25 09:05:15.283,40100.0,80.0,PASS,PASS,,,,,,,,,
2026-08-25 09:05:18.917,v1.6.3,124500,아이티센글로벌,PRE_HISTORY,ENTER,PASS,80,40100.0,0.12453300124533001,314.57485032081604,21,0.0,15.43929934501648,0.5012531328320802,30.670680284500122,0.25,61.989521503448486,3.2175032175032174,125.27477741241455,4.1558441558441555,172.7117099761963,2.557544757033248,298.59485960006714,-0.3742201159616525,30.670680284500122,-0.12484355735816124,61.989521503448486,,,,,,,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,20260825_124500_E001,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,2026-08-25 09:05:15.283,40100.0,80.0,PASS,PASS,FIRST_75_PASS,0.0,PASS,,,,,,
2026-08-25 09:05:18.921,v1.6.3,124500,아이티센글로벌,LIVE_FILTER_SHADOW,ENTER,PASS,80,40100.0,0.12453300124533001,314.57485032081604,21,0.0,15.43929934501648,0.5012531328320802,30.670680284500122,0.25,61.989521503448486,3.2175032175032174,125.27477741241455,4.1558441558441555,172.7117099761963,2.557544757033248,298.59485960006714,-0.3742201159616525,30.670680284500122,-0.12484355735816124,61.989521503448486,,,,,,,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,20260825_124500_E001,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,2026-08-25 09:05:15.283,40100.0,80.0,PASS,PASS,,,,,,,,,
2026-08-25 09:05:18.926,v1.6.3,124500,아이티센글로벌,CONFIRM,PENDING,FIRST_75_SIGNAL,80,40100.0,0.12453300124533001,314.57485032081604,21,0.0,15.43929934501648,0.5012531328320802,30.670680284500122,0.25,61.989521503448486,3.2175032175032174,125.27477741241455,4.1558441558441555,172.7117099761963,2.557544757033248,298.59485960006714,-0.3742201159616525,30.670680284500122,-0.12484355735816124,61.989521503448486,,,,,,,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,20260825_124500_E001,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,2026-08-25 09:05:15.283,40100.0,80.0,PASS,PASS,,,,2026-08-25 09:05:15.283,40100.0,,,PENDING,FIRST_75_SIGNAL
2026-08-25 09:05:34.335,v1.6.3,124500,아이티센글로벌,CONFIRM,SKIP,RISE_BELOW_CONFIRM,80,40000.0,0.37359900373599003,329.59989881515503,22,-0.24937655860349126,15.02504849433899,-0.24937655860349126,30.46434783935547,0.37641154328732745,61.46011161804199,1.6518424396442184,124.46579217910767,3.896103896103896,187.73675847053528,2.4327784891165174,297.7125337123871,0.24906600249066002,30.46434783935547,-0.24984239277273818,61.46011161804199,,,,,,,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,20260825_124500_E001,2026-08-25 09:04:13.293,40000.0,74.0,61.989521,2026-08-25 09:05:15.283,40100.0,80.0,PASS,PASS,,,,2026-08-25 09:05:15.283,40100.0,19.052258,-0.24937655860349126,EVALUABLE,SCORED
