datetime,version,stock_code,stock_name,entry_mode,decision,reason,score,current_price,high_gap,scan_session,decision_session,decision_time,session_valid_at_decision,history_available_sec,history_sample_count,price_change_15s,price_change_15s_actual_sec,price_change_30s,price_change_30s_actual_sec,price_change_60s,price_change_60s_actual_sec,price_change_120s,price_change_120s_actual_sec,price_change_180s,price_change_180s_actual_sec,price_change_300s,price_change_300s_actual_sec,high_gap_change_30s,high_gap_change_30s_actual_sec,high_gap_change_60s,high_gap_change_60s_actual_sec,high_gap_change_120s,high_gap_change_120s_actual_sec,high_gap_change_180s,high_gap_change_180s_actual_sec,high_gap_change_300s,high_gap_change_300s_actual_sec,price_30s_positive,price_60s_positive,first75_price_30s_positive,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,watch_episode_id,watch_episode_start_time,watch_episode_start_price,watch_episode_start_score,watch_episode_to_signal_sec,scan_start_time,first_75_time,first_75_price,first_75_score,first_75_pre_result,first_75_pre_status,first_75_pre_reason,entry_decision_time,entry_signal_price,entry_delay_from_first75_sec,entry_vs_first75_pct,pre_status,pre_entry_type,later_pass_origin,first_75_to_pre_entry_sec,pre_history_rule,first_signal_time,first_signal_price,confirm_delay_sec,confirm_rise_pct,confirm_observation_status,confirm_observation_reason,had_prior_shadow_70_74,prior_shadow_trade_id,prior_shadow_time,prior_shadow_price,prior_shadow_score,prior_shadow_to_first75_sec,prior_shadow_to_first75_pct,stock_entry_seq_today,mode_entry_seq_today,is_reentry,previous_same_mode_result,previous_same_mode_trade_id
2026-08-28 09:01:25.214,v1.6.6,079900,전진건설로봇,BASE,ENTER,75_SCORE,75,43000.0,0.34762456546929316,MAIN,MAIN,2026-08-28 09:01:25.170,True,78.33931994438171,6,0.0,15.989860534667969,0.46728971962616817,31.91896152496338,1.1764705882352942,63.12266445159912,,,,,,,0.2309384511169011,31.91896152496338,0.34762456546929316,63.12266445159912,,,,,,,True,True,True,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,20260828_079900_E001,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,2026-08-28 09:01:19.123,2026-08-28 09:01:25.170,43000.0,75.0,FAIL,FAIL,HIGH_GAP_60S_NOT_DECREASING,2026-08-28 09:01:25.170,43000.0,0.0,0.0,,,,,,,,,,,,False,,,,,,,1,1,False,,
2026-08-28 09:01:25.222,v1.6.6,079900,전진건설로봇,PRE_HISTORY,SKIP,HIGH_GAP_60S_NOT_DECREASING,75,43000.0,0.34762456546929316,MAIN,MAIN,2026-08-28 09:01:25.170,True,78.33931994438171,6,0.0,15.989860534667969,0.46728971962616817,31.91896152496338,1.1764705882352942,63.12266445159912,,,,,,,0.2309384511169011,31.91896152496338,0.34762456546929316,63.12266445159912,,,,,,,True,True,True,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,20260828_079900_E001,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,2026-08-28 09:01:19.123,2026-08-28 09:01:25.170,43000.0,75.0,FAIL,FAIL,HIGH_GAP_60S_NOT_DECREASING,2026-08-28 09:01:25.170,43000.0,0.0,0.0,FAIL,,,,HIGH_GAP_60S_NOT_DECREASING,,,,,,,False,,,,,,,,,,,
2026-08-28 09:01:25.230,v1.6.6,079900,전진건설로봇,CONFIRM,PENDING,FIRST_75_SIGNAL,75,43000.0,0.34762456546929316,MAIN,MAIN,2026-08-28 09:01:25.170,True,78.33931994438171,6,0.0,15.989860534667969,0.46728971962616817,31.91896152496338,1.1764705882352942,63.12266445159912,,,,,,,0.2309384511169011,31.91896152496338,0.34762456546929316,63.12266445159912,,,,,,,True,True,True,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,20260828_079900_E001,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,2026-08-28 09:01:19.123,2026-08-28 09:01:25.170,43000.0,75.0,FAIL,FAIL,HIGH_GAP_60S_NOT_DECREASING,2026-08-28 09:01:25.170,43000.0,0.0,0.0,,,,,,2026-08-28 09:01:25.170,43000.0,,,PENDING,FIRST_75_SIGNAL,False,,,,,,,,,,,
2026-08-28 09:01:40.515,v1.6.6,079900,전진건설로봇,CONFIRM,ENTER,PASS,75,43050.0,0.2317497103128621,MAIN,MAIN,2026-08-28 09:01:40.513,True,93.92239046096802,7,0.11627906976744186,15.583070516586304,0.11627906976744186,31.572931051254272,1.2941176470588236,63.484803199768066,,,,,,,-0.00026885117205668885,31.572931051254272,0.2317497103128621,63.484803199768066,-0.003821549993380524,93.92239046096802,,,,,True,True,True,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,20260828_079900_E001,2026-08-28 09:01:03.133,43000.0,69.0,22.037284,2026-08-28 09:01:19.123,2026-08-28 09:01:25.170,43000.0,75.0,FAIL,FAIL,HIGH_GAP_60S_NOT_DECREASING,2026-08-28 09:01:40.513,43050.0,15.343008,0.11627906976743319,,,,,,2026-08-28 09:01:25.170,43000.0,15.343008,0.11627906976744186,EVALUABLE,SCORED,False,,,,,,,2,1,False,,
2026-08-28 09:01:40.537,v1.6.6,079900,전진건설로봇,PRE_HISTORY,SKIP,HIGH_GAP_60S_NOT_DECREASING,75,43050.0,0.2317497103128621,MAIN,MAIN,2026-08-28 09:01:40.513,True,93.92239046096802,7,0.11627906976744186,15.583070516586304,0.11627906976744186,31.572931051254272,1.2941176470588236,63.484803199768066,,,,,,,-0.00026885117205668885,31.572931051254272,0.2317497103128621,63.484803199768066,-0.003821549993380524,93.92239046096802,,,,,True,True,True,2026-08-28 09:01:03.133,43000.0,69.0,37.380292,20260828_079900_E001,2026-08-28 09:01:03.133,43000.0,69.0,37.380292,2026-08-28 09:01:19.123,2026-08-28 09:01:25.170,43000.0,75.0,FAIL,FAIL,HIGH_GAP_60S_NOT_DECREASING,2026-08-28 09:01:40.513,43050.0,15.343008,0.11627906976743319,FAIL,,,,HIGH_GAP_60S_NOT_DECREASING,,,,,,,False,,,,,,,,,,,
2026-08-28 09:01:56.727,v1.6.6,079900,전진건설로봇,PRE_HISTORY,SKIP,PRICE_30S_NOT_POSITIVE,75,43000.0,0.34762456546929316,MAIN,MAIN,2026-08-28 09:01:56.714,True,109.77355813980103,8,-0.11614401858304298,15.851167678833008,0.0,31.43423819541931,0.46728971962616817,63.35319972038269,,,,,,,0.0,31.43423819541931,0.2309384511169011,63.35319972038269,0.11205330516305054,109.77355813980103,,,,,False,True,True,2026-08-28 09:01:03.133,43000.0,69.0,53.580996,20260828_079900_E001,2026-08-28 09:01:03.133,43000.0,69.0,53.580996,2026-08-28 09:01:19.123,2026-08-28 09:01:25.170,43000.0,75.0,FAIL,FAIL,HIGH_GAP_60S_NOT_DECREASING,2026-08-28 09:01:56.714,43000.0,31.543712,0.0,FAIL,,,,PRICE_30S_NOT_POSITIVE,,,,,,,False,,,,,,,,,,,
2026-08-28 09:02:10.864,v1.6.6,079900,전진건설로봇,PRE_HISTORY,SKIP,PRICE_30S_NOT_POSITIVE,75,43050.0,0.2317497103128621,MAIN,MAIN,2026-08-28 09:02:10.851,True,124.96046423912048,9,0.11627906976744186,15.186906099319458,0.0,31.038073778152466,0.11627906976744186,62.61100482940674,1.6528925619834711,124.96046423912048,,,,,0.0,31.038073778152466,-0.00026885117205668885,62.61100482940674,-0.003821549993380524,124.96046423912048,,,,,False,True,True,2026-08-28 09:01:03.133,43000.0,69.0,67.718315,20260828_079900_E001,2026-08-28 09:01:03.133,43000.0,69.0,67.718315,2026-08-28 09:01:19.123,2026-08-28 09:01:25.170,43000.0,75.0,FAIL,FAIL,HIGH_GAP_60S_NOT_DECREASING,2026-08-28 09:02:10.851,43050.0,45.681031,0.11627906976743319,FAIL,,,,PRICE_30S_NOT_POSITIVE,,,,,,,False,,,,,,,,,,,
2026-08-28 09:03:14.953,v1.6.6,222800,심텍,BASE,ENTER,75_SCORE,89,134000.0,0.0,MAIN,MAIN,2026-08-28 09:03:14.929,True,171.56539273262024,12,0.9796533534287867,15.578405380249023,0.8276899924755455,30.95915937423706,0.4497751124437781,61.82158398628235,2.4464831804281344,124.43258881568909,,,,,-0.29895366218236175,46.68014621734619,-0.29895366218236175,61.82158398628235,,,,,,,True,True,True,2026-08-28 09:02:05.744,133400.0,63.0,69.185069,20260828_222800_E002,2026-08-28 09:03:07.565,134000.0,89.0,7.363485,2026-08-28 09:03:07.565,2026-08-28 09:03:14.929,134000.0,89.0,PASS,PASS,OK,2026-08-28 09:03:14.929,134000.0,0.0,0.0,,,,,,,,,,,,False,,,,,,,1,1,False,,
2026-08-28 09:03:14.977,v1.6.6,222800,심텍,PRE_HISTORY,ENTER,OK,89,134000.0,0.0,MAIN,MAIN,2026-08-28 09:03:14.929,True,171.56539273262024,12,0.9796533534287867,15.578405380249023,0.8276899924755455,30.95915937423706,0.4497751124437781,61.82158398628235,2.4464831804281344,124.43258881568909,,,,,-0.29895366218236175,46.68014621734619,-0.29895366218236175,61.82158398628235,,,,,,,True,True,True,2026-08-28 09:02:05.744,133400.0,63.0,69.185069,20260828_222800_E002,2026-08-28 09:03:07.565,134000.0,89.0,7.363485,2026-08-28 09:03:07.565,2026-08-28 09:03:14.929,134000.0,89.0,PASS,PASS,OK,2026-08-28 09:03:14.929,134000.0,0.0,0.0,PASS,FIRST_75_PASS,,0.0,OK,,,,,,,False,,,,,,,2,1,False,,
2026-08-28 09:03:14.987,v1.6.6,222800,심텍,CONFIRM,PENDING,FIRST_75_SIGNAL,89,134000.0,0.0,MAIN,MAIN,2026-08-28 09:03:14.929,True,171.56539273262024,12,0.9796533534287867,15.578405380249023,0.8276899924755455,30.95915937423706,0.4497751124437781,61.82158398628235,2.4464831804281344,124.43258881568909,,,,,-0.29895366218236175,46.68014621734619,-0.29895366218236175,61.82158398628235,,,,,,,True,True,True,2026-08-28 09:02:05.744,133400.0,63.0,69.185069,20260828_222800_E002,2026-08-28 09:03:07.565,134000.0,89.0,7.363485,2026-08-28 09:03:07.565,2026-08-28 09:03:14.929,134000.0,89.0,PASS,PASS,OK,2026-08-28 09:03:14.929,134000.0,0.0,0.0,,,,,,2026-08-28 09:03:14.929,134000.0,,,PENDING,FIRST_75_SIGNAL,False,,,,,,,,,,,
